Y,center,angle,subject
50.20401939,top,0,1
27.45746874,top,0,2
-0.85663617,top,0,3
-6.804533885,top,0,4
11.51662269,top,0,5
14.14118868,top,0,6
19.94752069,top,0,7
3.904405597,top,0,8
42.13844322,top,0,9
4.546481233,top,0,10
48.96384765,bottom,0,1
24.0420569,bottom,0,2
2.848338974,bottom,0,3
-7.069698853,bottom,0,4
8.659373189,bottom,0,5
12.11697115,bottom,0,6
8.316350012,bottom,0,7
2.563293545,bottom,0,8
45.10012617,bottom,0,9
2.634723064,bottom,0,10
7.729388756,top,45,1
8.317003148,top,45,2
2.47903637,top,45,3
68.12998772,top,45,4
6.109375325,top,45,5
1.13942405,top,45,6
-2.720440975,top,45,7
9.557252611,top,45,8
10.01305861,top,45,9
5.788377941,top,45,10
29.11982601,bottom,45,1
6.536782642,bottom,45,2
0.262854149,bottom,45,3
74.63002206,bottom,45,4
7.893847779,bottom,45,5
5.747739329,bottom,45,6
-1.898206269,bottom,45,7
12.78643034,bottom,45,8
6.349794486,bottom,45,9
60.16026859,bottom,45,10
