Y,center,angle,subject
3.799187494,top,0,1
3.722306044,top,0,2
0.209101435,top,0,3
34.90180032,top,0,4
35.19126654,top,0,5
70.75643624,top,0,6
67.17848764,top,0,7
16.95539513,top,0,8
4.587908959,top,0,9
0.406343148,top,0,10
28.57993391,bottom,0,1
0.682257991,bottom,0,2
1.52461309,bottom,0,3
3.197591817,bottom,0,4
80.37594249,bottom,0,5
37.62317686,bottom,0,6
77.11975893,bottom,0,7
14.40635839,bottom,0,8
-4.331845911,bottom,0,9
3.298905808,bottom,0,10
22.41710463,top,45,1
2.49221265,top,45,2
3.821873273,top,45,3
83.42881409,top,45,4
64.22013998,top,45,5
86.42427049,top,45,6
4.471953362,top,45,7
2.359402965,top,45,8
7.095548572,top,45,9
2.227028154,top,45,10
81.87578212,bottom,45,1
1.612456061,bottom,45,2
3.872925346,bottom,45,3
11.20309268,bottom,45,4
62.27063483,bottom,45,5
51.52122843,bottom,45,6
57.27626628,bottom,45,7
26.68868479,bottom,45,8
19.26844663,bottom,45,9
1.533543221,bottom,45,10
