Y,center,angle,subject
13.326025,top,0,1
4.503959,top,0,2
-4.312644,top,0,3
10.694431,top,0,4
23.358623,top,0,5
16.64775,top,0,6
15.28909,top,0,7
13.404712,top,0,8
-9.096559,top,0,9
12.28483,top,0,10
8.567628,bottom,0,1
6.93332,bottom,0,2
1.912787,bottom,0,3
7.738008,bottom,0,4
37.250119,bottom,0,5
13.899593,bottom,0,6
10.053892,bottom,0,7
25.939309,bottom,0,8
-2.668789,bottom,0,9
6.519792,bottom,0,10
2.979358,top,45,1
2.594277,top,45,2
-2.116627,top,45,3
6.956861,top,45,4
28.409343,top,45,5
30.093258,top,45,6
-3.422063,top,45,7
10.304614,top,45,8
-7.344254,top,45,9
0.706337,top,45,10
9.071661,bottom,45,1
2.620752,bottom,45,2
1.298537,bottom,45,3
3.769633,bottom,45,4
28.230066,bottom,45,5
49.339312,bottom,45,6
26.20691,bottom,45,7
3.985828,bottom,45,8
-4.914836,bottom,45,9
0.762629,bottom,45,10
