Y,center,angle,subject
83.76609316,top,0,1
64.07919049,top,0,2
64.0700289,top,0,3
61.67685028,top,0,4
35.01003723,top,0,5
35.36517016,top,0,6
43.09570868,top,0,7
19.97445119,top,0,8
68.35923312,top,0,9
70.51298672,top,0,10
80.88681639,bottom,0,1
69.45299099,bottom,0,2
60.79856916,bottom,0,3
61.47131017,bottom,0,4
28.50986844,bottom,0,5
48.3763916,bottom,0,6
40.83755017,bottom,0,7
15.42425725,bottom,0,8
68.39208909,bottom,0,9
76.95589405,bottom,0,10
51.76935843,top,45,1
64.59330501,top,45,2
76.74087834,top,45,3
78.18003146,top,45,4
33.55859776,top,45,5
13.31275706,top,45,6
27.95617574,top,45,7
27.60782781,top,45,8
24.99065797,top,45,9
52.65364289,top,45,10
78.01092374,bottom,45,1
71.60072468,bottom,45,2
75.93236244,bottom,45,3
78.73162696,bottom,45,4
30.50493537,bottom,45,5
14.97056837,bottom,45,6
41.72625559,bottom,45,7
34.99751702,bottom,45,8
33.56388465,bottom,45,9
86.73615891,bottom,45,10
