Y,center,angle,subject
7.841332965,top,0,1
5.401860162,top,0,2
0.524385837,top,0,3
41.34513202,top,0,4
45.13691209,top,0,5
75.85169768,top,0,6
68.3522373,top,0,7
27.89775837,top,0,8
6.046786967,top,0,9
1.087637981,top,0,10
48.17348234,bottom,0,1
2.486068596,bottom,0,2
4.100943116,bottom,0,3
8.922992963,bottom,0,4
85.01370195,bottom,0,5
44.09371501,bottom,0,6
78.53845196,bottom,0,7
24.45435315,bottom,0,8
-0.671967836,bottom,0,9
7.195845262,bottom,0,10
26.88994262,top,45,1
5.686727716,top,45,2
9.129410205,top,45,3
86.21758625,top,45,4
75.22688058,top,45,5
88.98556424,top,45,6
6.690131999,top,45,7
5.838734658,top,45,8
17.97327548,top,45,9
4.001082393,top,45,10
85.09941839,bottom,45,1
3.46342292,bottom,45,2
5.422785149,bottom,45,3
15.50083608,bottom,45,4
68.4180666,bottom,45,5
58.14491661,bottom,45,6
59.00570982,bottom,45,7
35.06765481,bottom,45,8
22.13971773,bottom,45,9
7.457544884,bottom,45,10
