Y,center,angle,subject
21.513364,top,0,1
11.753329,top,0,2
-0.146403,top,0,3
14.471705,top,0,4
127.543193,top,0,5
22.175284,top,0,6
19.870158,top,0,7
26.950156,top,0,8
-6.513474,top,0,9
21.149311,top,0,10
16.205882,bottom,0,1
14.443569,bottom,0,2
12.043563,bottom,0,3
10.73632,bottom,0,4
43.228227,bottom,0,5
27.504635,bottom,0,6
14.054924,bottom,0,7
38.827281,bottom,0,8
1.558948,bottom,0,9
17.707269,bottom,0,10
9.485286,top,45,1
8.448192,top,45,2
2.73138,top,45,3
9.837745,top,45,4
48.857636,top,45,5
37.546074,top,45,6
0.341143,top,45,7
15.431153,top,45,8
-3.425928,top,45,9
8.255195,top,45,10
19.662127,bottom,45,1
10.721497,bottom,45,2
11.229508,bottom,45,3
8.387644,bottom,45,4
38.228914,bottom,45,5
129.618014,bottom,45,6
30.15881,bottom,45,7
7.063456,bottom,45,8
-2.756585,bottom,45,9
9.412184,bottom,45,10
