Y,center,angle,subject
84.0558803,top,0,1
64.81825021,top,0,2
64.38587326,top,0,3
62.34797095,top,0,4
37.42594962,top,0,5
36.31545085,top,0,6
43.97072512,top,0,7
23.7367567,top,0,8
69.83512382,top,0,9
72.43294828,top,0,10
83.66774936,bottom,0,1
71.96452251,bottom,0,2
62.33979786,bottom,0,3
64.26805758,bottom,0,4
29.52093214,bottom,0,5
49.87810547,bottom,0,6
41.88939321,bottom,0,7
17.20723337,bottom,0,8
69.4761383,bottom,0,9
78.55351432,bottom,0,10
54.88327813,top,45,1
67.22341635,top,45,2
77.33456233,top,45,3
78.92422453,top,45,4
37.7175672,top,45,5
14.5542027,top,45,6
29.28709172,top,45,7
29.63165253,top,45,8
29.85258117,top,45,9
54.0787479,top,45,10
79.04074759,bottom,45,1
73.80607544,bottom,45,2
77.0784704,bottom,45,3
79.26456882,bottom,45,4
35.47971746,bottom,45,5
16.918858,bottom,45,6
46.20239087,bottom,45,7
36.45930569,bottom,45,8
35.76391609,bottom,45,9
87.39047171,bottom,45,10
