Y,center,angle,subject
8.7523311,top,0,1
5.546006941,top,0,2
0.679116356,top,0,3
42.68326192,top,0,4
48.72257254,top,0,5
76.05542298,top,0,6
68.58719206,top,0,7
29.66227901,top,0,8
6.611145,top,0,9
1.288645557,top,0,10
50.16658639,bottom,0,1
2.948112121,bottom,0,2
4.368241678,bottom,0,3
10.43402025,bottom,0,4
85.24532147,bottom,0,5
44.56716293,bottom,0,6
78.70033815,bottom,0,7
25.98539536,bottom,0,8
-0.145096154,bottom,0,9
8.374140531,bottom,0,10
27.23546966,top,45,1
6.591989013,top,45,2
9.970689898,top,45,3
86.27293495,top,45,4
76.84506965,top,45,5
89.04872594,top,45,6
7.120658541,top,45,7
6.215827327,top,45,8
19.68321124,top,45,9
4.175521498,top,45,10
85.31665044,bottom,45,1
3.996889487,bottom,45,2
5.624049772,bottom,45,3
18.70252473,bottom,45,4
69.35294601,bottom,45,5
60.4071623,bottom,45,6
59.56310577,bottom,45,7
37.3374162,bottom,45,8
22.4018645,bottom,45,9
11.21385123,bottom,45,10
