Y,center,angle,subject
23.947362,top,0,1
14.154051,top,0,2
1.418038,top,0,3
14.986059,top,0,4
129.991104,top,0,5
23.238349,top,0,6
20.725145,top,0,7
28.609201,top,0,8
-6.281232,top,0,9
21.631644,top,0,10
17.716684,bottom,0,1
17.334499,bottom,0,2
14.036076,bottom,0,3
11.775523,bottom,0,4
43.694005,bottom,0,5
29.674102,bottom,0,6
16.190571,bottom,0,7
39.229427,bottom,0,8
2.514782,bottom,0,9
19.585119,bottom,0,10
11.601231,top,45,1
10.425243,top,45,2
5.387787,top,45,3
11.672377,top,45,4
49.454501,top,45,5
39.452779,top,45,6
0.729015,top,45,7
16.240176,top,45,8
-0.94274,top,45,9
8.670393,top,45,10
21.862303,bottom,45,1
14.76045,bottom,45,2
15.630052,bottom,45,3
9.50245,bottom,45,4
38.892868,bottom,45,5
129.982944,bottom,45,6
30.760861,bottom,45,7
20.64292,bottom,45,8
-2.345884,bottom,45,9
9.956114,bottom,45,10
