Y,center,angle,subject
-0.190839067,top,0,1
-0.377881338,top,0,2
-2.806353535,top,0,3
-10.16733774,top,0,4
-6.208926958,top,0,5
-5.132654532,top,0,6
-4.858722904,top,0,7
-3.142152324,top,0,8
-3.289980704,top,0,9
-1.40786853,top,0,10
-0.189502088,bottom,0,1
-0.43632835,bottom,0,2
-2.804789503,bottom,0,3
-10.16842217,bottom,0,4
-6.283283576,bottom,0,5
-5.093147187,bottom,0,6
-4.911082042,bottom,0,7
-3.143661963,bottom,0,8
-3.27631737,bottom,0,9
-1.396711473,bottom,0,10
-0.129878041,top,45,1
-0.43656833,top,45,2
-2.800430541,top,45,3
3.638680787,top,45,4
-6.232199426,top,45,5
-5.112052714,top,45,6
-4.907030521,top,45,7
-3.116592002,top,45,8
-3.287736942,top,45,9
-1.406008966,top,45,10
-0.153209781,bottom,45,1
-0.435572471,bottom,45,2
-2.806495677,bottom,45,3
-9.670718677,bottom,45,4
-6.287664807,bottom,45,5
-5.113721557,bottom,45,6
-4.910313451,bottom,45,7
-3.132354413,bottom,45,8
-3.280489335,bottom,45,9
1.938402076,bottom,45,10
