Y,center,angle,subject
-0.127788479,top,0,1
-0.036746482,top,0,2
-0.010405194,top,0,3
31.65675136,top,0,4
29.70162723,top,0,5
65.5590149,top,0,6
63.48881525,top,0,7
10.79657361,top,0,8
3.095056798,top,0,9
-0.419787719,top,0,10
0.001424343,bottom,0,1
-0.0485642,bottom,0,2
-0.006990108,bottom,0,3
-0.001164908,bottom,0,4
77.48205379,bottom,0,5
29.81151783,bottom,0,6
72.92794079,bottom,0,7
1.868119519,bottom,0,8
-5.654424953,bottom,0,9
0.457533379,bottom,0,10
14.31566509,top,45,1
0.988353293,top,45,2
-0.004252583,top,45,3
79.23690361,top,45,4
55.90411017,top,45,5
81.53810448,top,45,6
1.100078272,top,45,7
-0.225914894,top,45,8
-2.552140002,top,45,9
-0.684623059,top,45,10
77.00707812,bottom,45,1
-0.047784946,bottom,45,2
0.027296465,bottom,45,3
9.48952119,bottom,45,4
56.64611859,bottom,45,5
31.90384133,bottom,45,6
54.55433243,bottom,45,7
13.26104351,bottom,45,8
14.33691647,bottom,45,9
-0.823615106,bottom,45,10
