Y,center,angle,subject
6.134645,top,0,1
-1.767035,top,0,2
-5.824253,top,0,3
7.110873,top,0,4
2.494127,top,0,5
11.048671,top,0,6
12.144172,top,0,7
-7.053464,top,0,8
-12.994539,top,0,9
0.258169,top,0,10
-0.079681,bottom,0,1
-1.813961,bottom,0,2
-4.373951,bottom,0,3
2.901574,bottom,0,4
17.758366,bottom,0,5
2.202261,bottom,0,6
7.443742,bottom,0,7
4.241033,bottom,0,8
-10.037904,bottom,0,9
-1.826327,bottom,0,10
-0.057663,top,45,1
-1.856503,top,45,2
-5.817208,top,45,3
1.819647,top,45,4
20.757592,top,45,5
18.349147,top,45,6
-7.427287999,top,45,7
-4.610804,top,45,8
-13.046771,top,45,9
-5.1415,top,45,10
0.114616,bottom,45,1
-1.834568,bottom,45,2
-5.171403,bottom,45,3
0.170055,bottom,45,4
18.445298,bottom,45,5
24.412899,bottom,45,6
21.683552,bottom,45,7
-4.69978,bottom,45,8
-11.241795,bottom,45,9
-5.153065,bottom,45,10
