Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
50.20401939,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
27.45746874,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-0.85663617,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
-6.804533885,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
11.51662269,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
14.14118868,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
19.94752069,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
3.904405597,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
42.13844322,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
4.546481233,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
48.96384765,bottom,0,1,,,,,,,,,,,,,,,,,,,,
24.0420569,bottom,0,2,,,,,,,,,,,,,,,,,,,,
2.848338974,bottom,0,3,,,,,,,,,,,,,,,,,,,,
-7.069698853,bottom,0,4,,,,,,,,,,,,,,,,,,,,
8.659373189,bottom,0,5,,,,,,,,,,,,,,,,,,,,
12.11697115,bottom,0,6,,,,,,,,,,,,,,,,,,,,
8.316350012,bottom,0,7,,,,,,,,,,,,,,,,,,,,
2.563293545,bottom,0,8,,,,,,,,,,,,,,,,,,,,
45.10012617,bottom,0,9,,,,,,,,,,,,,,,,,,,,
2.634723064,bottom,0,10,,,,,,,,,,,,,,,,,,,,
31.56508163,top,120,1,,,,,,,,,,,,,,,,,,,,
16.78293656,top,120,2,,,,,,,,,,,,,,,,,,,,
-2.170026465,top,120,3,,,,,,,,,,,,,,,,,,,,
-1.14843426,top,120,4,,,,,,,,,,,,,,,,,,,,
-3.01091182,top,120,5,,,,,,,,,,,,,,,,,,,,
7.464123811,top,120,6,,,,,,,,,,,,,,,,,,,,
7.860309908,top,120,7,,,,,,,,,,,,,,,,,,,,
21.96749731,top,120,8,,,,,,,,,,,,,,,,,,,,
56.11910893,top,120,9,,,,,,,,,,,,,,,,,,,,
10.45599235,top,120,10,,,,,,,,,,,,,,,,,,,,
14.09933991,bottom,120,1,,,,,,,,,,,,,,,,,,,,
20.81605813,bottom,120,2,,,,,,,,,,,,,,,,,,,,
-1.553868446,bottom,120,3,,,,,,,,,,,,,,,,,,,,
7.443342698,bottom,120,4,,,,,,,,,,,,,,,,,,,,
-0.957294108,bottom,120,5,,,,,,,,,,,,,,,,,,,,
6.276397806,bottom,120,6,,,,,,,,,,,,,,,,,,,,
1.111450716,bottom,120,7,,,,,,,,,,,,,,,,,,,,
53.45812282,bottom,120,8,,,,,,,,,,,,,,,,,,,,
30.72105074,bottom,120,9,,,,,,,,,,,,,,,,,,,,
76.36036919,bottom,120,10,,,,,,,,,,,,,,,,,,,,
84.30269177,top,160,1,,,,,,,,,,,,,,,,,,,,
14.75332434,top,160,2,,,,,,,,,,,,,,,,,,,,
7.802631554,top,160,3,,,,,,,,,,,,,,,,,,,,
-7.339937833,top,160,4,,,,,,,,,,,,,,,,,,,,
20.35721142,top,160,5,,,,,,,,,,,,,,,,,,,,
72.91573908,top,160,6,,,,,,,,,,,,,,,,,,,,
67.38931794,top,160,7,,,,,,,,,,,,,,,,,,,,
10.00075333,top,160,8,,,,,,,,,,,,,,,,,,,,
30.17401325,top,160,9,,,,,,,,,,,,,,,,,,,,
77.5729083,bottom,160,1,,,,,,,,,,,,,,,,,,,,
27.86683285,bottom,160,2,,,,,,,,,,,,,,,,,,,,
17.56593443,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-5.722557158,bottom,160,4,,,,,,,,,,,,,,,,,,,,
28.84933608,bottom,160,5,,,,,,,,,,,,,,,,,,,,
51.64369163,bottom,160,6,,,,,,,,,,,,,,,,,,,,
74.06037463,bottom,160,7,,,,,,,,,,,,,,,,,,,,
20.72990273,bottom,160,8,,,,,,,,,,,,,,,,,,,,
60.16026859,bottom,160,9,,,,,,,,,,,,,,,,,,,,
