Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
3.799187494,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
3.722306044,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
0.209101435,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
34.90180032,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
35.19126654,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
70.75643624,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
67.17848764,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
16.95539513,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
4.587908959,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
0.406343148,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
28.57993391,bottom,0,1,,,,,,,,,,,,,,,,,,,,
0.682257991,bottom,0,2,,,,,,,,,,,,,,,,,,,,
1.52461309,bottom,0,3,,,,,,,,,,,,,,,,,,,,
3.197591817,bottom,0,4,,,,,,,,,,,,,,,,,,,,
80.37594249,bottom,0,5,,,,,,,,,,,,,,,,,,,,
37.62317686,bottom,0,6,,,,,,,,,,,,,,,,,,,,
77.11975893,bottom,0,7,,,,,,,,,,,,,,,,,,,,
14.40635839,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-4.331845911,bottom,0,9,,,,,,,,,,,,,,,,,,,,
3.298905808,bottom,0,10,,,,,,,,,,,,,,,,,,,,
7.257907289,top,120,1,,,,,,,,,,,,,,,,,,,,
10.94489964,top,120,2,,,,,,,,,,,,,,,,,,,,
6.424640522,top,120,3,,,,,,,,,,,,,,,,,,,,
10.1136603,top,120,4,,,,,,,,,,,,,,,,,,,,
-1.17400257,top,120,5,,,,,,,,,,,,,,,,,,,,
123.3565871,top,120,6,,,,,,,,,,,,,,,,,,,,
55.04633562,top,120,7,,,,,,,,,,,,,,,,,,,,
27.80591224,top,120,8,,,,,,,,,,,,,,,,,,,,
3.761703475,top,120,9,,,,,,,,,,,,,,,,,,,,
-0.465851305,top,120,10,,,,,,,,,,,,,,,,,,,,
38.15893888,bottom,120,1,,,,,,,,,,,,,,,,,,,,
8.285744822,bottom,120,2,,,,,,,,,,,,,,,,,,,,
36.53190829,bottom,120,3,,,,,,,,,,,,,,,,,,,,
73.71455432,bottom,120,4,,,,,,,,,,,,,,,,,,,,
14.07111614,bottom,120,5,,,,,,,,,,,,,,,,,,,,
29.81938732,bottom,120,6,,,,,,,,,,,,,,,,,,,,
75.1424207,bottom,120,7,,,,,,,,,,,,,,,,,,,,
18.32348061,bottom,120,8,,,,,,,,,,,,,,,,,,,,
4.759175804,bottom,120,9,,,,,,,,,,,,,,,,,,,,
13.78737177,bottom,120,10,,,,,,,,,,,,,,,,,,,,
2.19007647,top,160,1,,,,,,,,,,,,,,,,,,,,
13.73848276,top,160,2,,,,,,,,,,,,,,,,,,,,
0.362538125,top,160,3,,,,,,,,,,,,,,,,,,,,
10.42826722,top,160,4,,,,,,,,,,,,,,,,,,,,
48.7765081,top,160,5,,,,,,,,,,,,,,,,,,,,
-1.649622109,top,160,6,,,,,,,,,,,,,,,,,,,,
4.31454261,top,160,7,,,,,,,,,,,,,,,,,,,,
12.753223,top,160,8,,,,,,,,,,,,,,,,,,,,
-0.444434914,top,160,9,,,,,,,,,,,,,,,,,,,,
37.58526481,bottom,160,1,,,,,,,,,,,,,,,,,,,,
5.555896064,bottom,160,2,,,,,,,,,,,,,,,,,,,,
10.37859953,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-1.641043024,bottom,160,4,,,,,,,,,,,,,,,,,,,,
15.78437209,bottom,160,5,,,,,,,,,,,,,,,,,,,,
32.53489077,bottom,160,6,,,,,,,,,,,,,,,,,,,,
3.693464508,bottom,160,7,,,,,,,,,,,,,,,,,,,,
4.872025763,bottom,160,8,,,,,,,,,,,,,,,,,,,,
1.533543221,bottom,160,9,,,,,,,,,,,,,,,,,,,,
