Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
13.326025,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
4.503959,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-4.312644,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
10.694431,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
23.358623,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
16.64775,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
15.28909,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
13.404712,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
-9.096559,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
12.28483,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
8.567628,bottom,0,1,,,,,,,,,,,,,,,,,,,,
6.93332,bottom,0,2,,,,,,,,,,,,,,,,,,,,
1.912787,bottom,0,3,,,,,,,,,,,,,,,,,,,,
7.738008,bottom,0,4,,,,,,,,,,,,,,,,,,,,
37.250119,bottom,0,5,,,,,,,,,,,,,,,,,,,,
13.899593,bottom,0,6,,,,,,,,,,,,,,,,,,,,
10.053892,bottom,0,7,,,,,,,,,,,,,,,,,,,,
25.939309,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-2.668789,bottom,0,9,,,,,,,,,,,,,,,,,,,,
6.519792,bottom,0,10,,,,,,,,,,,,,,,,,,,,
26.793957,top,120,1,,,,,,,,,,,,,,,,,,,,
22.616355,top,120,2,,,,,,,,,,,,,,,,,,,,
15.119239,top,120,3,,,,,,,,,,,,,,,,,,,,
10.380148,top,120,4,,,,,,,,,,,,,,,,,,,,
-2.180361,top,120,5,,,,,,,,,,,,,,,,,,,,
41.262358,top,120,6,,,,,,,,,,,,,,,,,,,,
19.12167,top,120,7,,,,,,,,,,,,,,,,,,,,
5.461191,top,120,8,,,,,,,,,,,,,,,,,,,,
8.465817,top,120,9,,,,,,,,,,,,,,,,,,,,
19.666272,top,120,10,,,,,,,,,,,,,,,,,,,,
17.910845,bottom,120,1,,,,,,,,,,,,,,,,,,,,
7.613589,bottom,120,2,,,,,,,,,,,,,,,,,,,,
-0.129649,bottom,120,3,,,,,,,,,,,,,,,,,,,,
15.155256,bottom,120,4,,,,,,,,,,,,,,,,,,,,
-4.996028,bottom,120,5,,,,,,,,,,,,,,,,,,,,
30.925627,bottom,120,6,,,,,,,,,,,,,,,,,,,,
19.276525,bottom,120,7,,,,,,,,,,,,,,,,,,,,
4.397786,bottom,120,8,,,,,,,,,,,,,,,,,,,,
-6.907941,bottom,120,9,,,,,,,,,,,,,,,,,,,,
13.109247,bottom,120,10,,,,,,,,,,,,,,,,,,,,
6.778441,top,160,1,,,,,,,,,,,,,,,,,,,,
25.330698,top,160,2,,,,,,,,,,,,,,,,,,,,
0.217428,top,160,3,,,,,,,,,,,,,,,,,,,,
26.550123,top,160,4,,,,,,,,,,,,,,,,,,,,
17.863474,top,160,5,,,,,,,,,,,,,,,,,,,,
1.341199,top,160,6,,,,,,,,,,,,,,,,,,,,
5.028035,top,160,7,,,,,,,,,,,,,,,,,,,,
0.43164,top,160,8,,,,,,,,,,,,,,,,,,,,
12.345379,top,160,9,,,,,,,,,,,,,,,,,,,,
13.017257,bottom,160,1,,,,,,,,,,,,,,,,,,,,
15.448013,bottom,160,2,,,,,,,,,,,,,,,,,,,,
0.722078,bottom,160,3,,,,,,,,,,,,,,,,,,,,
4.57581,bottom,160,4,,,,,,,,,,,,,,,,,,,,
16.158728,bottom,160,5,,,,,,,,,,,,,,,,,,,,
9.353873,bottom,160,6,,,,,,,,,,,,,,,,,,,,
7.90448,bottom,160,7,,,,,,,,,,,,,,,,,,,,
-10.109848,bottom,160,8,,,,,,,,,,,,,,,,,,,,
0.762629,bottom,160,9,,,,,,,,,,,,,,,,,,,,
