Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
83.76609316,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
64.07919049,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
64.0700289,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
61.67685028,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
35.01003723,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
35.36517016,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
43.09570868,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
19.97445119,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
68.35923312,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
70.51298672,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
80.88681639,bottom,0,1,,,,,,,,,,,,,,,,,,,,
69.45299099,bottom,0,2,,,,,,,,,,,,,,,,,,,,
60.79856916,bottom,0,3,,,,,,,,,,,,,,,,,,,,
61.47131017,bottom,0,4,,,,,,,,,,,,,,,,,,,,
28.50986844,bottom,0,5,,,,,,,,,,,,,,,,,,,,
48.3763916,bottom,0,6,,,,,,,,,,,,,,,,,,,,
40.83755017,bottom,0,7,,,,,,,,,,,,,,,,,,,,
15.42425725,bottom,0,8,,,,,,,,,,,,,,,,,,,,
68.39208909,bottom,0,9,,,,,,,,,,,,,,,,,,,,
76.95589405,bottom,0,10,,,,,,,,,,,,,,,,,,,,
83.1754675,top,120,1,,,,,,,,,,,,,,,,,,,,
67.23610476,top,120,2,,,,,,,,,,,,,,,,,,,,
75.20969882,top,120,3,,,,,,,,,,,,,,,,,,,,
36.3931729,top,120,4,,,,,,,,,,,,,,,,,,,,
56.12959348,top,120,5,,,,,,,,,,,,,,,,,,,,
18.01785479,top,120,6,,,,,,,,,,,,,,,,,,,,
52.39395329,top,120,7,,,,,,,,,,,,,,,,,,,,
54.50721017,top,120,8,,,,,,,,,,,,,,,,,,,,
65.81830898,top,120,9,,,,,,,,,,,,,,,,,,,,
87.9253394,top,120,10,,,,,,,,,,,,,,,,,,,,
81.19925783,bottom,120,1,,,,,,,,,,,,,,,,,,,,
69.85686378,bottom,120,2,,,,,,,,,,,,,,,,,,,,
72.05973322,bottom,120,3,,,,,,,,,,,,,,,,,,,,
65.8413828,bottom,120,4,,,,,,,,,,,,,,,,,,,,
15.6751321,bottom,120,5,,,,,,,,,,,,,,,,,,,,
12.35094164,bottom,120,6,,,,,,,,,,,,,,,,,,,,
57.12009533,bottom,120,7,,,,,,,,,,,,,,,,,,,,
67.43385496,bottom,120,8,,,,,,,,,,,,,,,,,,,,
58.16803291,bottom,120,9,,,,,,,,,,,,,,,,,,,,
87.53244898,bottom,120,10,,,,,,,,,,,,,,,,,,,,
89.29402962,top,160,1,,,,,,,,,,,,,,,,,,,,
42.15145121,top,160,2,,,,,,,,,,,,,,,,,,,,
73.91843756,top,160,3,,,,,,,,,,,,,,,,,,,,
11.23326208,top,160,4,,,,,,,,,,,,,,,,,,,,
29.60525426,top,160,5,,,,,,,,,,,,,,,,,,,,
77.40832014,top,160,6,,,,,,,,,,,,,,,,,,,,
79.38909722,top,160,7,,,,,,,,,,,,,,,,,,,,
26.98910802,top,160,8,,,,,,,,,,,,,,,,,,,,
85.34067928,top,160,9,,,,,,,,,,,,,,,,,,,,
89.64464333,bottom,160,1,,,,,,,,,,,,,,,,,,,,
47.38648538,bottom,160,2,,,,,,,,,,,,,,,,,,,,
86.76136317,bottom,160,3,,,,,,,,,,,,,,,,,,,,
14.13846118,bottom,160,4,,,,,,,,,,,,,,,,,,,,
40.39314167,bottom,160,5,,,,,,,,,,,,,,,,,,,,
63.13760206,bottom,160,6,,,,,,,,,,,,,,,,,,,,
83.22161769,bottom,160,7,,,,,,,,,,,,,,,,,,,,
36.74332936,bottom,160,8,,,,,,,,,,,,,,,,,,,,
86.73615891,bottom,160,9,,,,,,,,,,,,,,,,,,,,
