Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
7.841332965,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
5.401860162,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
0.524385837,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
41.34513202,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
45.13691209,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
75.85169768,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
68.3522373,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
27.89775837,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
6.046786967,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
1.087637981,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
48.17348234,bottom,0,1,,,,,,,,,,,,,,,,,,,,
2.486068596,bottom,0,2,,,,,,,,,,,,,,,,,,,,
4.100943116,bottom,0,3,,,,,,,,,,,,,,,,,,,,
8.922992963,bottom,0,4,,,,,,,,,,,,,,,,,,,,
85.01370195,bottom,0,5,,,,,,,,,,,,,,,,,,,,
44.09371501,bottom,0,6,,,,,,,,,,,,,,,,,,,,
78.53845196,bottom,0,7,,,,,,,,,,,,,,,,,,,,
24.45435315,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-0.671967836,bottom,0,9,,,,,,,,,,,,,,,,,,,,
7.195845262,bottom,0,10,,,,,,,,,,,,,,,,,,,,
65.37900836,top,120,1,,,,,,,,,,,,,,,,,,,,
84.57432943,top,120,2,,,,,,,,,,,,,,,,,,,,
8.076746119,top,120,3,,,,,,,,,,,,,,,,,,,,
12.89428354,top,120,4,,,,,,,,,,,,,,,,,,,,
8.029940802,top,120,5,,,,,,,,,,,,,,,,,,,,
128.2955439,top,120,6,,,,,,,,,,,,,,,,,,,,
61.06409799,top,120,7,,,,,,,,,,,,,,,,,,,,
47.39603382,top,120,8,,,,,,,,,,,,,,,,,,,,
20.24949538,top,120,9,,,,,,,,,,,,,,,,,,,,
1.363894958,top,120,10,,,,,,,,,,,,,,,,,,,,
81.94061643,bottom,120,1,,,,,,,,,,,,,,,,,,,,
87.66757773,bottom,120,2,,,,,,,,,,,,,,,,,,,,
41.43096378,bottom,120,3,,,,,,,,,,,,,,,,,,,,
75.91472,bottom,120,4,,,,,,,,,,,,,,,,,,,,
23.83803436,bottom,120,5,,,,,,,,,,,,,,,,,,,,
37.06518817,bottom,120,6,,,,,,,,,,,,,,,,,,,,
77.80882625,bottom,120,7,,,,,,,,,,,,,,,,,,,,
38.48184489,bottom,120,8,,,,,,,,,,,,,,,,,,,,
43.66033115,bottom,120,9,,,,,,,,,,,,,,,,,,,,
18.86508386,bottom,120,10,,,,,,,,,,,,,,,,,,,,
12.74263328,top,160,1,,,,,,,,,,,,,,,,,,,,
68.27776197,top,160,2,,,,,,,,,,,,,,,,,,,,
1.471493693,top,160,3,,,,,,,,,,,,,,,,,,,,
12.17614919,top,160,4,,,,,,,,,,,,,,,,,,,,
65.07252776,top,160,5,,,,,,,,,,,,,,,,,,,,
0.125158687,top,160,6,,,,,,,,,,,,,,,,,,,,
14.25021178,top,160,7,,,,,,,,,,,,,,,,,,,,
52.46449691,top,160,8,,,,,,,,,,,,,,,,,,,,
4.498002355,top,160,9,,,,,,,,,,,,,,,,,,,,
46.51992956,bottom,160,1,,,,,,,,,,,,,,,,,,,,
47.2764435,bottom,160,2,,,,,,,,,,,,,,,,,,,,
14.96288895,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-0.113006097,bottom,160,4,,,,,,,,,,,,,,,,,,,,
26.57777289,bottom,160,5,,,,,,,,,,,,,,,,,,,,
40.13505084,bottom,160,6,,,,,,,,,,,,,,,,,,,,
9.200002525,bottom,160,7,,,,,,,,,,,,,,,,,,,,
31.2332914,bottom,160,8,,,,,,,,,,,,,,,,,,,,
7.457544884,bottom,160,9,,,,,,,,,,,,,,,,,,,,
