Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
21.513364,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
11.753329,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-0.146403,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
14.471705,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
127.543193,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
22.175284,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
19.870158,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
26.950156,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
-6.513474,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
21.149311,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
16.205882,bottom,0,1,,,,,,,,,,,,,,,,,,,,
14.443569,bottom,0,2,,,,,,,,,,,,,,,,,,,,
12.043563,bottom,0,3,,,,,,,,,,,,,,,,,,,,
10.73632,bottom,0,4,,,,,,,,,,,,,,,,,,,,
43.228227,bottom,0,5,,,,,,,,,,,,,,,,,,,,
27.504635,bottom,0,6,,,,,,,,,,,,,,,,,,,,
14.054924,bottom,0,7,,,,,,,,,,,,,,,,,,,,
38.827281,bottom,0,8,,,,,,,,,,,,,,,,,,,,
1.558948,bottom,0,9,,,,,,,,,,,,,,,,,,,,
17.707269,bottom,0,10,,,,,,,,,,,,,,,,,,,,
33.930138,top,120,1,,,,,,,,,,,,,,,,,,,,
29.771638,top,120,2,,,,,,,,,,,,,,,,,,,,
19.502699,top,120,3,,,,,,,,,,,,,,,,,,,,
36.859203,top,120,4,,,,,,,,,,,,,,,,,,,,
5.522061,top,120,5,,,,,,,,,,,,,,,,,,,,
123.667028,top,120,6,,,,,,,,,,,,,,,,,,,,
26.072208,top,120,7,,,,,,,,,,,,,,,,,,,,
22.96058,top,120,8,,,,,,,,,,,,,,,,,,,,
16.052637,top,120,9,,,,,,,,,,,,,,,,,,,,
23.934452,top,120,10,,,,,,,,,,,,,,,,,,,,
27.820686,bottom,120,1,,,,,,,,,,,,,,,,,,,,
18.11456,bottom,120,2,,,,,,,,,,,,,,,,,,,,
7.497728,bottom,120,3,,,,,,,,,,,,,,,,,,,,
22.586412,bottom,120,4,,,,,,,,,,,,,,,,,,,,
2.110502,bottom,120,5,,,,,,,,,,,,,,,,,,,,
62.574573,bottom,120,6,,,,,,,,,,,,,,,,,,,,
33.234815,bottom,120,7,,,,,,,,,,,,,,,,,,,,
10.719564,bottom,120,8,,,,,,,,,,,,,,,,,,,,
32.465063,bottom,120,9,,,,,,,,,,,,,,,,,,,,
19.426455,bottom,120,10,,,,,,,,,,,,,,,,,,,,
13.994025,top,160,1,,,,,,,,,,,,,,,,,,,,
34.750076,top,160,2,,,,,,,,,,,,,,,,,,,,
17.42419,top,160,3,,,,,,,,,,,,,,,,,,,,
31.462402,top,160,4,,,,,,,,,,,,,,,,,,,,
28.206989,top,160,5,,,,,,,,,,,,,,,,,,,,
9.080709,top,160,6,,,,,,,,,,,,,,,,,,,,
9.556497,top,160,7,,,,,,,,,,,,,,,,,,,,
19.17768,top,160,8,,,,,,,,,,,,,,,,,,,,
19.05508,top,160,9,,,,,,,,,,,,,,,,,,,,
19.984149,bottom,160,1,,,,,,,,,,,,,,,,,,,,
20.071867,bottom,160,2,,,,,,,,,,,,,,,,,,,,
17.570415,bottom,160,3,,,,,,,,,,,,,,,,,,,,
14.867513,bottom,160,4,,,,,,,,,,,,,,,,,,,,
34.390024,bottom,160,5,,,,,,,,,,,,,,,,,,,,
15.7932,bottom,160,6,,,,,,,,,,,,,,,,,,,,
16.711955,bottom,160,7,,,,,,,,,,,,,,,,,,,,
26.627517,bottom,160,8,,,,,,,,,,,,,,,,,,,,
9.412184,bottom,160,9,,,,,,,,,,,,,,,,,,,,
