Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
84.0558803,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
64.81825021,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
64.38587326,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
62.34797095,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
37.42594962,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
36.31545085,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
43.97072512,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
23.7367567,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
69.83512382,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
72.43294828,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
83.66774936,bottom,0,1,,,,,,,,,,,,,,,,,,,,
71.96452251,bottom,0,2,,,,,,,,,,,,,,,,,,,,
62.33979786,bottom,0,3,,,,,,,,,,,,,,,,,,,,
64.26805758,bottom,0,4,,,,,,,,,,,,,,,,,,,,
29.52093214,bottom,0,5,,,,,,,,,,,,,,,,,,,,
49.87810547,bottom,0,6,,,,,,,,,,,,,,,,,,,,
41.88939321,bottom,0,7,,,,,,,,,,,,,,,,,,,,
17.20723337,bottom,0,8,,,,,,,,,,,,,,,,,,,,
69.4761383,bottom,0,9,,,,,,,,,,,,,,,,,,,,
78.55351432,bottom,0,10,,,,,,,,,,,,,,,,,,,,
87.32144368,top,120,1,,,,,,,,,,,,,,,,,,,,
88.13568076,top,120,2,,,,,,,,,,,,,,,,,,,,
77.27510077,top,120,3,,,,,,,,,,,,,,,,,,,,
40.99185133,top,120,4,,,,,,,,,,,,,,,,,,,,
58.36519086,top,120,5,,,,,,,,,,,,,,,,,,,,
19.80642635,top,120,6,,,,,,,,,,,,,,,,,,,,
55.57105401,top,120,7,,,,,,,,,,,,,,,,,,,,
59.61150285,top,120,8,,,,,,,,,,,,,,,,,,,,
67.60086001,top,120,9,,,,,,,,,,,,,,,,,,,,
88.01598453,top,120,10,,,,,,,,,,,,,,,,,,,,
87.10438598,bottom,120,1,,,,,,,,,,,,,,,,,,,,
74.88704315,bottom,120,2,,,,,,,,,,,,,,,,,,,,
77.97320445,bottom,120,3,,,,,,,,,,,,,,,,,,,,
67.07799206,bottom,120,4,,,,,,,,,,,,,,,,,,,,
23.34097262,bottom,120,5,,,,,,,,,,,,,,,,,,,,
13.07489577,bottom,120,6,,,,,,,,,,,,,,,,,,,,
57.96362273,bottom,120,7,,,,,,,,,,,,,,,,,,,,
70.19315975,bottom,120,8,,,,,,,,,,,,,,,,,,,,
60.68156118,bottom,120,9,,,,,,,,,,,,,,,,,,,,
87.84173205,bottom,120,10,,,,,,,,,,,,,,,,,,,,
89.5567989,top,160,1,,,,,,,,,,,,,,,,,,,,
47.93043125,top,160,2,,,,,,,,,,,,,,,,,,,,
80.18532814,top,160,3,,,,,,,,,,,,,,,,,,,,
14.56166642,top,160,4,,,,,,,,,,,,,,,,,,,,
30.31235738,top,160,5,,,,,,,,,,,,,,,,,,,,
80.21769558,top,160,6,,,,,,,,,,,,,,,,,,,,
82.4697372,top,160,7,,,,,,,,,,,,,,,,,,,,
30.94461172,top,160,8,,,,,,,,,,,,,,,,,,,,
87.47929858,top,160,9,,,,,,,,,,,,,,,,,,,,
89.80545155,bottom,160,1,,,,,,,,,,,,,,,,,,,,
50.4228692,bottom,160,2,,,,,,,,,,,,,,,,,,,,
87.18533094,bottom,160,3,,,,,,,,,,,,,,,,,,,,
21.20122243,bottom,160,4,,,,,,,,,,,,,,,,,,,,
47.95791685,bottom,160,5,,,,,,,,,,,,,,,,,,,,
65.16195316,bottom,160,6,,,,,,,,,,,,,,,,,,,,
84.31045737,bottom,160,7,,,,,,,,,,,,,,,,,,,,
40.47985778,bottom,160,8,,,,,,,,,,,,,,,,,,,,
87.39047171,bottom,160,9,,,,,,,,,,,,,,,,,,,,
