Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
8.7523311,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
5.546006941,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
0.679116356,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
42.68326192,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
48.72257254,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
76.05542298,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
68.58719206,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
29.66227901,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
6.611145,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
1.288645557,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
50.16658639,bottom,0,1,,,,,,,,,,,,,,,,,,,,
2.948112121,bottom,0,2,,,,,,,,,,,,,,,,,,,,
4.368241678,bottom,0,3,,,,,,,,,,,,,,,,,,,,
10.43402025,bottom,0,4,,,,,,,,,,,,,,,,,,,,
85.24532147,bottom,0,5,,,,,,,,,,,,,,,,,,,,
44.56716293,bottom,0,6,,,,,,,,,,,,,,,,,,,,
78.70033815,bottom,0,7,,,,,,,,,,,,,,,,,,,,
25.98539536,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-0.145096154,bottom,0,9,,,,,,,,,,,,,,,,,,,,
8.374140531,bottom,0,10,,,,,,,,,,,,,,,,,,,,
67.42318062,top,120,1,,,,,,,,,,,,,,,,,,,,
85.21298292,top,120,2,,,,,,,,,,,,,,,,,,,,
8.213575938,top,120,3,,,,,,,,,,,,,,,,,,,,
13.05207513,top,120,4,,,,,,,,,,,,,,,,,,,,
10.37071104,top,120,5,,,,,,,,,,,,,,,,,,,,
129.8138366,top,120,6,,,,,,,,,,,,,,,,,,,,
61.88272109,top,120,7,,,,,,,,,,,,,,,,,,,,
49.32435375,top,120,8,,,,,,,,,,,,,,,,,,,,
31.84397744,top,120,9,,,,,,,,,,,,,,,,,,,,
2.308558931,top,120,10,,,,,,,,,,,,,,,,,,,,
85.80395524,bottom,120,1,,,,,,,,,,,,,,,,,,,,
88.89553925,bottom,120,2,,,,,,,,,,,,,,,,,,,,
41.87523114,bottom,120,3,,,,,,,,,,,,,,,,,,,,
77.05966266,bottom,120,4,,,,,,,,,,,,,,,,,,,,
27.15527385,bottom,120,5,,,,,,,,,,,,,,,,,,,,
37.5069608,bottom,120,6,,,,,,,,,,,,,,,,,,,,
78.13537532,bottom,120,7,,,,,,,,,,,,,,,,,,,,
43.91272089,bottom,120,8,,,,,,,,,,,,,,,,,,,,
49.67977634,bottom,120,9,,,,,,,,,,,,,,,,,,,,
19.87629609,bottom,120,10,,,,,,,,,,,,,,,,,,,,
14.1556241,top,160,1,,,,,,,,,,,,,,,,,,,,
71.57950086,top,160,2,,,,,,,,,,,,,,,,,,,,
1.939306249,top,160,3,,,,,,,,,,,,,,,,,,,,
13.32365514,top,160,4,,,,,,,,,,,,,,,,,,,,
66.0189501,top,160,5,,,,,,,,,,,,,,,,,,,,
0.618577486,top,160,6,,,,,,,,,,,,,,,,,,,,
16.38802927,top,160,7,,,,,,,,,,,,,,,,,,,,
55.63799187,top,160,8,,,,,,,,,,,,,,,,,,,,
5.522101341,top,160,9,,,,,,,,,,,,,,,,,,,,
50.13781548,bottom,160,1,,,,,,,,,,,,,,,,,,,,
52.51419555,bottom,160,2,,,,,,,,,,,,,,,,,,,,
15.54345756,bottom,160,3,,,,,,,,,,,,,,,,,,,,
0.017996731,bottom,160,4,,,,,,,,,,,,,,,,,,,,
28.98622197,bottom,160,5,,,,,,,,,,,,,,,,,,,,
40.93864014,bottom,160,6,,,,,,,,,,,,,,,,,,,,
10.60087795,bottom,160,7,,,,,,,,,,,,,,,,,,,,
33.15609959,bottom,160,8,,,,,,,,,,,,,,,,,,,,
11.21385123,bottom,160,9,,,,,,,,,,,,,,,,,,,,
