Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
23.947362,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
14.154051,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
1.418038,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
14.986059,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
129.991104,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
23.238349,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
20.725145,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
28.609201,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
-6.281232,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
21.631644,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
17.716684,bottom,0,1,,,,,,,,,,,,,,,,,,,,
17.334499,bottom,0,2,,,,,,,,,,,,,,,,,,,,
14.036076,bottom,0,3,,,,,,,,,,,,,,,,,,,,
11.775523,bottom,0,4,,,,,,,,,,,,,,,,,,,,
43.694005,bottom,0,5,,,,,,,,,,,,,,,,,,,,
29.674102,bottom,0,6,,,,,,,,,,,,,,,,,,,,
16.190571,bottom,0,7,,,,,,,,,,,,,,,,,,,,
39.229427,bottom,0,8,,,,,,,,,,,,,,,,,,,,
2.514782,bottom,0,9,,,,,,,,,,,,,,,,,,,,
19.585119,bottom,0,10,,,,,,,,,,,,,,,,,,,,
34.976526,top,120,1,,,,,,,,,,,,,,,,,,,,
31.236092,top,120,2,,,,,,,,,,,,,,,,,,,,
19.897899,top,120,3,,,,,,,,,,,,,,,,,,,,
39.051961,top,120,4,,,,,,,,,,,,,,,,,,,,
6.54809,top,120,5,,,,,,,,,,,,,,,,,,,,
129.910697,top,120,6,,,,,,,,,,,,,,,,,,,,
27.993403,top,120,7,,,,,,,,,,,,,,,,,,,,
24.849932,top,120,8,,,,,,,,,,,,,,,,,,,,
18.567117,top,120,9,,,,,,,,,,,,,,,,,,,,
24.424749,top,120,10,,,,,,,,,,,,,,,,,,,,
31.102715,bottom,120,1,,,,,,,,,,,,,,,,,,,,
23.457806,bottom,120,2,,,,,,,,,,,,,,,,,,,,
8.920049,bottom,120,3,,,,,,,,,,,,,,,,,,,,
25.082223,bottom,120,4,,,,,,,,,,,,,,,,,,,,
3.481625,bottom,120,5,,,,,,,,,,,,,,,,,,,,
66.858101,bottom,120,6,,,,,,,,,,,,,,,,,,,,
34.394934,bottom,120,7,,,,,,,,,,,,,,,,,,,,
13.222765,bottom,120,8,,,,,,,,,,,,,,,,,,,,
33.631024,bottom,120,9,,,,,,,,,,,,,,,,,,,,
21.306537,bottom,120,10,,,,,,,,,,,,,,,,,,,,
16.43823,top,160,1,,,,,,,,,,,,,,,,,,,,
37.656049,top,160,2,,,,,,,,,,,,,,,,,,,,
19.407129,top,160,3,,,,,,,,,,,,,,,,,,,,
32.230813,top,160,4,,,,,,,,,,,,,,,,,,,,
30.227329,top,160,5,,,,,,,,,,,,,,,,,,,,
10.953774,top,160,6,,,,,,,,,,,,,,,,,,,,
10.153354,top,160,7,,,,,,,,,,,,,,,,,,,,
23.065469,top,160,8,,,,,,,,,,,,,,,,,,,,
19.429016,top,160,9,,,,,,,,,,,,,,,,,,,,
21.927412,bottom,160,1,,,,,,,,,,,,,,,,,,,,
21.77834,bottom,160,2,,,,,,,,,,,,,,,,,,,,
23.873174,bottom,160,3,,,,,,,,,,,,,,,,,,,,
17.429425,bottom,160,4,,,,,,,,,,,,,,,,,,,,
36.591728,bottom,160,5,,,,,,,,,,,,,,,,,,,,
18.217169,bottom,160,6,,,,,,,,,,,,,,,,,,,,
24.053629,bottom,160,7,,,,,,,,,,,,,,,,,,,,
29.167131,bottom,160,8,,,,,,,,,,,,,,,,,,,,
9.956114,bottom,160,9,,,,,,,,,,,,,,,,,,,,
