Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
-0.190839067,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
-0.377881338,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-2.806353535,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
-10.16733774,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
-6.208926958,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
-5.132654532,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
-4.858722904,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
-3.142152324,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
-3.289980704,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
-1.40786853,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
-24.368356,bottom,0,1,,,,,,,,,,,,,,,,,,,,
-34.222865,bottom,0,2,,,,,,,,,,,,,,,,,,,,
-25.315279,bottom,0,3,,,,,,,,,,,,,,,,,,,,
-32.596531,bottom,0,4,,,,,,,,,,,,,,,,,,,,
-34.488866,bottom,0,5,,,,,,,,,,,,,,,,,,,,
-27.395995,bottom,0,6,,,,,,,,,,,,,,,,,,,,
-25.285987,bottom,0,7,,,,,,,,,,,,,,,,,,,,
17.226272,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-18.945486,bottom,0,9,,,,,,,,,,,,,,,,,,,,
-9.142867,bottom,0,10,,,,,,,,,,,,,,,,,,,,
6.191232156,top,120,1,,,,,,,,,,,,,,,,,,,,
-0.435638582,top,120,2,,,,,,,,,,,,,,,,,,,,
-2.805826347,top,120,3,,,,,,,,,,,,,,,,,,,,
-10.10359232,top,120,4,,,,,,,,,,,,,,,,,,,,
-6.287912198,top,120,5,,,,,,,,,,,,,,,,,,,,
-5.07117666,top,120,6,,,,,,,,,,,,,,,,,,,,
-4.295721571,top,120,7,,,,,,,,,,,,,,,,,,,,
-1.977941132,top,120,8,,,,,,,,,,,,,,,,,,,,
-3.246639075,top,120,9,,,,,,,,,,,,,,,,,,,,
-0.503509418,top,120,10,,,,,,,,,,,,,,,,,,,,
1.727638628,bottom,120,1,,,,,,,,,,,,,,,,,,,,
-0.436041304,bottom,120,2,,,,,,,,,,,,,,,,,,,,
-2.803849762,bottom,120,3,,,,,,,,,,,,,,,,,,,,
-10.16686864,bottom,120,4,,,,,,,,,,,,,,,,,,,,
-6.272337306,bottom,120,5,,,,,,,,,,,,,,,,,,,,
-5.141272594,bottom,120,6,,,,,,,,,,,,,,,,,,,,
-4.896110875,bottom,120,7,,,,,,,,,,,,,,,,,,,,
1.995387465,bottom,120,8,,,,,,,,,,,,,,,,,,,,
-1.02706666,bottom,120,9,,,,,,,,,,,,,,,,,,,,
-1.407425256,bottom,120,10,,,,,,,,,,,,,,,,,,,,
0.069611289,top,160,1,,,,,,,,,,,,,,,,,,,,
-0.426194506,top,160,2,,,,,,,,,,,,,,,,,,,,
0.074713322,top,160,3,,,,,,,,,,,,,,,,,,,,
-10.16888971,top,160,4,,,,,,,,,,,,,,,,,,,,
-5.09123401,top,160,5,,,,,,,,,,,,,,,,,,,,
-4.578574661,top,160,6,,,,,,,,,,,,,,,,,,,,
2.992308004,top,160,7,,,,,,,,,,,,,,,,,,,,
-3.276999772,top,160,8,,,,,,,,,,,,,,,,,,,,
-1.338362557,top,160,9,,,,,,,,,,,,,,,,,,,,
-0.130552007,bottom,160,1,,,,,,,,,,,,,,,,,,,,
-0.434271073,bottom,160,2,,,,,,,,,,,,,,,,,,,,
-2.391317555,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-10.11736177,bottom,160,4,,,,,,,,,,,,,,,,,,,,
-4.881779321,bottom,160,5,,,,,,,,,,,,,,,,,,,,
-4.717876807,bottom,160,6,,,,,,,,,,,,,,,,,,,,
0.733908017,bottom,160,7,,,,,,,,,,,,,,,,,,,,
-3.228083788,bottom,160,8,,,,,,,,,,,,,,,,,,,,
1.938402076,bottom,160,9,,,,,,,,,,,,,,,,,,,,
