Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
-0.127788479,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
-0.036746482,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-0.010405194,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
31.65675136,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
29.70162723,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
65.5590149,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
63.48881525,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
10.79657361,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
3.095056798,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
-0.419787719,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
0.001424343,bottom,0,1,,,,,,,,,,,,,,,,,,,,
-0.0485642,bottom,0,2,,,,,,,,,,,,,,,,,,,,
-0.006990108,bottom,0,3,,,,,,,,,,,,,,,,,,,,
-0.001164908,bottom,0,4,,,,,,,,,,,,,,,,,,,,
77.48205379,bottom,0,5,,,,,,,,,,,,,,,,,,,,
29.81151783,bottom,0,6,,,,,,,,,,,,,,,,,,,,
72.92794079,bottom,0,7,,,,,,,,,,,,,,,,,,,,
1.868119519,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-5.654424953,bottom,0,9,,,,,,,,,,,,,,,,,,,,
0.457533379,bottom,0,10,,,,,,,,,,,,,,,,,,,,
-0.091115982,top,120,1,,,,,,,,,,,,,,,,,,,,
-0.049512414,top,120,2,,,,,,,,,,,,,,,,,,,,
3.92637662,top,120,3,,,,,,,,,,,,,,,,,,,,
-1.711511146,top,120,4,,,,,,,,,,,,,,,,,,,,
-2.282172198,top,120,5,,,,,,,,,,,,,,,,,,,,
48.85108258,top,120,6,,,,,,,,,,,,,,,,,,,,
48.39363053,top,120,7,,,,,,,,,,,,,,,,,,,,
-0.219920275,top,120,8,,,,,,,,,,,,,,,,,,,,
-4.279407185,top,120,9,,,,,,,,,,,,,,,,,,,,
-0.825345597,top,120,10,,,,,,,,,,,,,,,,,,,,
0.425386216,bottom,120,1,,,,,,,,,,,,,,,,,,,,
-0.010598428,bottom,120,2,,,,,,,,,,,,,,,,,,,,
17.44451943,bottom,120,3,,,,,,,,,,,,,,,,,,,,
67.51189606,bottom,120,4,,,,,,,,,,,,,,,,,,,,
-2.247531707,bottom,120,5,,,,,,,,,,,,,,,,,,,,
25.08683346,bottom,120,6,,,,,,,,,,,,,,,,,,,,
73.05151087,bottom,120,7,,,,,,,,,,,,,,,,,,,,
1.802277112,bottom,120,8,,,,,,,,,,,,,,,,,,,,
-5.53154797,bottom,120,9,,,,,,,,,,,,,,,,,,,,
-0.716061845,bottom,120,10,,,,,,,,,,,,,,,,,,,,
-0.118362243,top,160,1,,,,,,,,,,,,,,,,,,,,
0.082686403,top,160,2,,,,,,,,,,,,,,,,,,,,
-0.008522846,top,160,3,,,,,,,,,,,,,,,,,,,,
9.277562453,top,160,4,,,,,,,,,,,,,,,,,,,,
39.33351377,top,160,5,,,,,,,,,,,,,,,,,,,,
-6.285198549,top,160,6,,,,,,,,,,,,,,,,,,,,
-0.231992086,top,160,7,,,,,,,,,,,,,,,,,,,,
-1.579163206,top,160,8,,,,,,,,,,,,,,,,,,,,
-0.827803891,top,160,9,,,,,,,,,,,,,,,,,,,,
0.012368297,bottom,160,1,,,,,,,,,,,,,,,,,,,,
-0.049488628,bottom,160,2,,,,,,,,,,,,,,,,,,,,
0.068384555,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-1.96714751,bottom,160,4,,,,,,,,,,,,,,,,,,,,
3.917384392,bottom,160,5,,,,,,,,,,,,,,,,,,,,
16.64709989,bottom,160,6,,,,,,,,,,,,,,,,,,,,
-0.228562627,bottom,160,7,,,,,,,,,,,,,,,,,,,,
-5.589367253,bottom,160,8,,,,,,,,,,,,,,,,,,,,
-0.823615106,bottom,160,9,,,,,,,,,,,,,,,,,,,,
