Y,center,height,subject,,,,,,,,,,,,,,,,,,Y,center,height
6.134645,top,0,1,,,,,,,,,,,,,,,,,,,bottom,
-1.767035,top,0,2,,,,,,,,,,,,,,,,,,,bottom,
-5.824253,top,0,3,,,,,,,,,,,,,,,,,,,bottom,
7.110873,top,0,4,,,,,,,,,,,,,,,,,,,bottom,
2.494127,top,0,5,,,,,,,,,,,,,,,,,,,bottom,
11.048671,top,0,6,,,,,,,,,,,,,,,,,,,bottom,
12.144172,top,0,7,,,,,,,,,,,,,,,,,,,bottom,
-7.053464,top,0,8,,,,,,,,,,,,,,,,,,,bottom,
-12.994539,top,0,9,,,,,,,,,,,,,,,,,,,bottom,
0.258169,top,0,10,,,,,,,,,,,,,,,,,,,bottom,
-0.079681,bottom,0,1,,,,,,,,,,,,,,,,,,,,
-1.813961,bottom,0,2,,,,,,,,,,,,,,,,,,,,
-4.373951,bottom,0,3,,,,,,,,,,,,,,,,,,,,
2.901574,bottom,0,4,,,,,,,,,,,,,,,,,,,,
17.758366,bottom,0,5,,,,,,,,,,,,,,,,,,,,
2.202261,bottom,0,6,,,,,,,,,,,,,,,,,,,,
7.443742,bottom,0,7,,,,,,,,,,,,,,,,,,,,
4.241033,bottom,0,8,,,,,,,,,,,,,,,,,,,,
-10.037904,bottom,0,9,,,,,,,,,,,,,,,,,,,,
-1.826327,bottom,0,10,,,,,,,,,,,,,,,,,,,,
17.946446,top,120,1,,,,,,,,,,,,,,,,,,,,
13.50392,top,120,2,,,,,,,,,,,,,,,,,,,,
10.895961,top,120,3,,,,,,,,,,,,,,,,,,,,
-1.73841,top,120,4,,,,,,,,,,,,,,,,,,,,
-8.856771,top,120,5,,,,,,,,,,,,,,,,,,,,
8.564305,top,120,6,,,,,,,,,,,,,,,,,,,,
11.186949,top,120,7,,,,,,,,,,,,,,,,,,,,
-7.309245,top,120,8,,,,,,,,,,,,,,,,,,,,
3.767123,top,120,9,,,,,,,,,,,,,,,,,,,,
3.32757,top,120,10,,,,,,,,,,,,,,,,,,,,
0.162294,bottom,120,1,,,,,,,,,,,,,,,,,,,,
1.871115,bottom,120,2,,,,,,,,,,,,,,,,,,,,
-5.827277,bottom,120,3,,,,,,,,,,,,,,,,,,,,
2.157885,bottom,120,4,,,,,,,,,,,,,,,,,,,,
-8.847911,bottom,120,5,,,,,,,,,,,,,,,,,,,,
-2.221229,bottom,120,6,,,,,,,,,,,,,,,,,,,,
7.429444,bottom,120,7,,,,,,,,,,,,,,,,,,,,
-7.309138,bottom,120,8,,,,,,,,,,,,,,,,,,,,
-13.042944,bottom,120,9,,,,,,,,,,,,,,,,,,,,
-4.399198,bottom,120,10,,,,,,,,,,,,,,,,,,,,
-0.076342,top,160,1,,,,,,,,,,,,,,,,,,,,
13.272865,top,160,2,,,,,,,,,,,,,,,,,,,,
-5.813239,top,160,3,,,,,,,,,,,,,,,,,,,,
23.522244,top,160,4,,,,,,,,,,,,,,,,,,,,
8.587759,top,160,5,,,,,,,,,,,,,,,,,,,,
-7.417937,top,160,6,,,,,,,,,,,,,,,,,,,,
-7.343182,top,160,7,,,,,,,,,,,,,,,,,,,,
-12.552665,top,160,8,,,,,,,,,,,,,,,,,,,,
-5.093889,top,160,9,,,,,,,,,,,,,,,,,,,,
-0.092495,bottom,160,1,,,,,,,,,,,,,,,,,,,,
1.106082,bottom,160,2,,,,,,,,,,,,,,,,,,,,
-5.809504,bottom,160,3,,,,,,,,,,,,,,,,,,,,
-1.665446,bottom,160,4,,,,,,,,,,,,,,,,,,,,
-8.549056,bottom,160,5,,,,,,,,,,,,,,,,,,,,
-7.413741,bottom,160,6,,,,,,,,,,,,,,,,,,,,
-7.362365,bottom,160,7,,,,,,,,,,,,,,,,,,,,
-13.026654,bottom,160,8,,,,,,,,,,,,,,,,,,,,
-5.153065,bottom,160,9,,,,,,,,,,,,,,,,,,,,
